"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"decint012_tdcl",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"opimtv08_unidade_habitacional",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"opimtv04_imovel",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"autxtb04prdtocta",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb02txtdocto",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp15_limitepre",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp12_logfxalme",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb097_servico_sistema",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb060_msgmfncne",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb059_cntgmdoc",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb047_hrrocanal",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb026_agndotev",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb024_cncmo",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb023_pgmncncsa",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb021_tev",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb018_tipolncmo",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"decint013_saldo_conta",4,"EXTRACAO DE DADOS DO SIDEC",1160,"Eventual"
"sagtb095_tipo_trnso_integrada",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"sagtb091_repasse_suprimento",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"tagtbi10_prcsocnlo",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi07_remessapv",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb08rprsntes",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb01docto",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
