"NO_TABELA_CARGA","NU_SISTEMA","NO_MODULO","NU_WORKFLOW","CO_PERIODICIDADE"
"atrtb030_contapre",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb002_cntacntgm",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"sagtb097_situacao_fita",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"cetxtb37mtvosgmno",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb23grprincno",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb03qtitcesta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb01cesta",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"tagtbi18_acmdoenvo",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi12_etcofrmto",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi06_espcletco",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb17hstropgmno",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb14logtrnsa",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb12logpgmno",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb07rprstcta",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"autxtb03produtos",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp16_logcnadso",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp02_lmtecanal",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb079_dtlhe_trnso_servico",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb048_extodtlhe",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb041_mvmnoctbl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb027_agndodoc",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb024_cncmo",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt66_historico_conta_campan",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt65_conta_campanha",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt63_campanha_propriedade",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt62_campanha_fncne_espcl",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt61_campanha_pacote",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt26_ctleocrna",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_perfil_processo",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_parametros_processamento",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_mensagem_extrato",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_cooperativa",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_contas",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"decint005_marca",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"opimtv07_produto",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"opimtv06_tipo_pedido",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"opimtv04_imovel",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"cetxtb03qtitcesta",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cetxtb01cesta",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cettb059_tipo_servico_consumo",1396,"EXTRACAO DE DADOS DO SICET",1057,"Eventual"
"decint006_conta_marca",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"decint001_conta",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"opimtv09_dominio",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"aoimq10_garantia",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"autxtb17hstropgmno",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb14logtrnsa",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb13logsrvco",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"autxtb05conta",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp08_dscnotrfa",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtb098_srvco_brmno",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb048_extodtlhe",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb044_esttagndo",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb041_mvmnoctbl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb027_agndodoc",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb017_extocnsla",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"sagtb098_servico_versao",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"sagtb096_arquivo_carga",3954,"EXTRACAO DE DADOS DO SISAG",3160,"Eventual"
"tagxtb01saldo",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi08_acmdoetco",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"tagtbi05_rgstormsa",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"auttbp08_dscnotrfa",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp06_sgmoprmzo",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtb089_mnsgminstl",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb076_situacao_agendamento",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb032_contadoc",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb025_agndo",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb009_srvcoauto",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb008_mnsgmstma",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb004_trilha_auditoria",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb002_cntacntgm",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt60_campanha",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt59_cancelamento_pcte",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt56_contagem_mensal",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt54_contagem_mensal_esncl",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt52_hstro_cta_pcte",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt47_hstro_conjunto",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt43_conjunto",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt39_hsttrfprpre",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt38_hsttrfcnl",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt33_desconto",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt28_tarifaversao",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt22_rmsaarqvo",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt04_trfacmpto",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt03_trfavlr",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_suat",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_perfil",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_indices_operacao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_indice_mes",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_credito_rotativo",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_cota_fundo",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_classe_ocorrencias",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_agencia_operacao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"decint014_lncmo_ftro",4,"EXTRACAO DE DADOS DO SIDEC",1190,"Eventual"
"tagtbi22_grupo_unidade",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagtbi13_acmdoetco",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"decint004_conta_cliente",4,"EXTRACAO DE DADOS DO SIDEC",1004,"0 0 0 ? * 2-6 *"
"opimtv03_financiamento",1143,"EXTRACAO DE DADOS DO SIOPI",1007,"Eventual"
"aoimq10_garantia",3138,"EXTRACAO DE DADOS DO SIAOI",1008,"Eventual"
"cetxtb39vrptmarca",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cetxtb36pntcorisco",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cetxtb23grprincno",1396,"EXTRACAO DE DADOS DO SICET",1055,"Eventual"
"cettb062_consumo_servico",1396,"EXTRACAO DE DADOS DO SICET",1057,"Eventual"
"cettb057_canal_consumo",1396,"EXTRACAO DE DADOS DO SICET",1057,"Eventual"
"cettb056_log_erro_bonus",1396,"EXTRACAO DE DADOS DO SICET",1057,"Eventual"
"decint009_movimento",4,"HAWQ CARGA SISTEMA SIDEC",3004,"0 0 0 ? * 2-6 *"
"opimtv06_tipo_pedido",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"opimtv03_financiamento",1143,"HAWQ CARGA SISTEMA SIOPI",3007,"Eventual"
"aoimq15_renegociacao",3138,"HAWQ CARGA SISTEMA SIAOI",3008,"Eventual"
"auttbp11_contadtno",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"auttbp03_fxalmevlr",64,"EXTRACAO DE DADOS DO SIAUT",1090,"Eventual"
"atrtbh21_historico_tev",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb079_dtlhe_trnso_servico",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb076_situacao_agendamento",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb062_darf",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb050_ciftdcl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb042_prosvocnl",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"atrtb008_mnsgmstma",3040,"EXTRACAO DE DADOS DO SIATR",1105,"Eventual"
"cetxtb36pntcorisco",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb08prdtoincno",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"cetxtb14mtvocnlo",1396,"HAWQ CARGA SISTEMA SICET",3055,"Eventual"
"tagtbi09_esttapv",173,"HAWQ CARGA SISTEMA SITAG",3068,"* 0 0 * * ?"
"autxtb05conta",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp24_log_atnco_mltpa",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp23_cnalencdo",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp20_logatnco",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbp12_logfxalme",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"auttbh02_hstro_lncmo_poupanca",64,"HAWQ CARGA SISTEMA SIAUT",3090,"Eventual"
"atrtbh21_historico_tev",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb098_srvco_brmno",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb097_servico_sistema",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb054_dbtoatmto",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb028_agndopgmo",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"atrtb026_agndotev",3040,"HAWQ CARGA SISTEMA SIATR",3105,"Eventual"
"d08tbt57_evento_credito",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt55_contratacao_pcte",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt37_hsttrfcrcta",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"d08tbt27_tarifa",2910,"EXTRACAO DE DADOS DO SID08",1192,"Eventual"
"tab_tarifas_ope",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_tarifa_talao",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_sr_cobradoras",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_regional_processamento",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_indice_diario",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab_doc_lancament",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tab100_faixas_gim",1038,"EXTRACAO DE DADOS DO SICEF",1189,"Eventual"
"tagtbi20_btmno_mvmto_acumulado",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagxtb03etapa",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
"tagxtb01saldo",173,"EXTRACAO DE DADOS DO SITAG",1068,"* 0 0 * * ?"
